Symbol,EntryDate,EntryPrice,Quantity,Capital,ExitDate,ExitPrice,PnL,PnL%,DaysHeld,ExitReason,TrackType
MEESHO,2026-07-28,182.1,54,9833.4,2026-08-21,209.51,1480.14,15.05,24,Price at BB Upper (203.09),Paper
AUBANK,2026-07-21,993.3,10,9933.0,2026-08-24,1108.2,1149.0,11.57,34,Price at BB Upper (1108.04),Paper
PIRAMALFIN,2026-07-27,2085.4,4,8341.6,2026-08-24,2180.8,381.6,4.57,28,Price at BB Upper (2159.34),Paper
JINDALSAW,2026-07-29,250.85,39,9783.15,2026-08-24,291.65,1591.2,16.26,26,Price at BB Upper (284.29),Paper
IDBI,2026-08-12,82.44,121,9975.24,2026-08-25,87.93,664.29,6.66,13,Price at BB Upper (86.68),Paper
AAVAS,2026-07-24,1444.0,6,8664.0,2026-08-27,1285.8,-949.2,-10.96,34,Stop loss hit (1299.6),Paper
CUB,2026-08-03,206.5,48,9912.0,2026-08-27,226.8,974.4,9.83,24,Price at BB Upper (226.79),Paper
LICHSGFIN,2026-07-09,530.6,18,9550.8,2026-08-28,535.5,88.2,0.92,50,Price at BB Upper (528.72),Paper
ABSLAMC,2026-07-23,1043.1,9,9387.9,2026-08-28,1046.5,30.6,0.33,36,Price at BB Upper (1043.02),Paper
TEJASNET,2026-07-08,546.95,18,9845.1,2026-08-31,550.15,57.6,0.59,54,Price at BB Upper (546.54),Paper
HFCL,2026-07-27,196.85,50,9842.5,2026-08-31,251.47,2731.0,27.75,35,Price at BB Upper (250.87),Paper
SHYAMMETL,2026-08-13,984.8,10,9848.0,2026-08-31,1099.8,1150.0,11.68,18,Price at BB Upper (1064.78),Paper
